"","Feature","Gain","Cover","Frequency","Importance"
"1","Lymphocyte_count.0.0",0.17897248342406,0.168901843549748,0.14,0.17897248342406
"2","Rbc_width.0.0",0.154283961389884,0.0826279061933156,0.0933333333333333,0.154283961389884
"3","Rbc_count.0.0",0.0941545500450322,0.0786376070183325,0.0533333333333333,0.0941545500450322
"4","BMI.0.0",0.0880755370228751,0.0943825907507417,0.0933333333333333,0.0880755370228751
"5","Wbc_count.0.0",0.0877112808658627,0.0470258972965441,0.06,0.0877112808658627
"6","Plt_count.0.0",0.0792381373704462,0.0735608451150816,0.0533333333333333,0.0792381373704462
"7","Plt_crit.0.0",0.0425426728116259,0.0613513234650214,0.06,0.0425426728116259
"8","Monocyte_count.0.0",0.0352993714547239,0.0443700436059788,0.0466666666666667,0.0352993714547239
"9","Mean_hgb.0.0",0.0344279516326131,0.0309774690063612,0.04,0.0344279516326131
"10","Haemoglobin_conc.0.0",0.0312944452735014,0.035459121089344,0.06,0.0312944452735014
"11","Reticulocyte_count.0.0",0.029241475748295,0.0275327856450904,0.0466666666666667,0.029241475748295
"12","Plt_width.0.0",0.0197662554482895,0.0323230571704234,0.04,0.0197662554482895
"13","highest_Education0Others",0.0182744166613431,0.0297797281523667,0.02,0.0182744166613431
"14","Smoke_status.0.0Never",0.0151502951762543,0.0296014185935689,0.02,0.0151502951762543
"15","Ir_fraction.0.0",0.0148284274568568,0.0200238603934544,0.0133333333333333,0.0148284274568568
"16","Mean_reticulocyte_vol.0.0",0.0148018189914344,0.020299091823603,0.02,0.0148018189914344
"17","Alcohol_freq.0.0rarely",0.0139814911466626,0.0264650420849354,0.0266666666666667,0.0139814911466626
"18","Neutrophill_count.0.0",0.0131499489440878,0.0296816131032093,0.0266666666666667,0.0131499489440878
"19","Alcohol_freq.0.0never",0.0105593317779192,0.02920041173674,0.02,0.0105593317779192
"20","Mean_corpuscular_vol.0.0",0.00691480040962445,0.0101108229080972,0.00666666666666667,0.00691480040962445
"21","SexMale",0.0065410898959825,0.00275695096947617,0.00666666666666667,0.0065410898959825
"22","highest_Education0NVQ",0.00258059716715355,0.00768324833857684,0.00666666666666667,0.00258059716715355
"23","Age_recr_continuous.0.0",0.00216117451877836,0.00680365614808927,0.00666666666666667,0.00216117451877836
"24","Smoke_status.0.0Current",0.00193425444413632,0.00951039620365731,0.00666666666666667,0.00193425444413632
"25","Mean_hgb_conc.0.0",0.00193391849910589,8.54641077682438e-05,0.00666666666666667,0.00193391849910589
"26","Mean_spcell_vol.0.0",0.00190884489097364,0.000665445066907464,0.0133333333333333,0.00190884489097364
"27","Eosinophill_count.0.0",0.000271467532477601,0.000182360463566791,0.0133333333333333,0.000271467532477601
